mode,delta,loss_mse
zz,-0.11913505508824354,0.0761527283753078
zz,-0.11217271450786699,0.07470103766767475
zz,-0.10555309509314288,0.07780525064592098
zz,-0.09925597192848501,0.08330224931690108
zz,-0.09326210542072925,0.08072927431749359
zz,-0.08755318251642662,0.08010806110314184
zz,-0.08211176074999206,0.0826638117885439
zz,-0.07692121495175952,0.07909520298006624
zz,-0.07196568645312007,0.07421890308485482
zz,-0.06723003463355003,0.07397075748065879
zz,-0.06269979066149038,0.08169446803850712
zz,-0.058361113287742565,0.08099440670010243
zz,-0.05420074655631531,0.0792846695915872
zz,-0.05020597930351803,0.08509073253917637
zz,-0.04636460632155667,0.07167818825520025
zz,-0.04266489106797654,0.08249611949665263
zz,-0.03909552980701752,0.07741441276393753
zz,-0.0356456170733233,0.0752048006594925
zz,-0.03230461235248556,0.09247482089388682
zz,-0.029062307876622468,0.07062045653216517
zz,-0.025908797436597037,0.0813005279317095
zz,-0.022834446115588027,0.0813939903652815
zz,-0.019829860851539437,0.08541485677719733
zz,-0.01688586173854889,0.08701275608503171
zz,-0.01399345397951167,0.07105186232925192
zz,-0.01114380040432747,0.08618610124069417
zz,-0.008328194469704743,0.08687333944172654
zz,-0.005538033658069007,0.08346091593705883
zz,-0.0027647931943008217,0.07665331523979652
zz,0.0,0.08029583462081755
zz,0.0027647931943008217,0.07348707719044566
zz,0.005538033658069052,0.08066862392014575
zz,0.00832819446970479,0.08118758079138823
zz,0.011143800404327516,0.08043246460806458
zz,0.013993453979511718,0.07039215127756238
zz,0.016885861738548936,0.07222733116239285
zz,0.019829860851539437,0.08042648128705882
zz,0.022834446115588027,0.08273376875425265
zz,0.025908797436597037,0.07393897332639009
zz,0.029062307876622468,0.07839735993257302
zz,0.03230461235248561,0.0822105901340219
zz,0.03564561707332336,0.07682446276912058
zz,0.03909552980701758,0.07871267660950435
zz,0.04266489106797659,0.07436670292066215
zz,0.046364606321556735,0.08278553918240196
zz,0.05020597930351803,0.08518254755777935
zz,0.05420074655631531,0.09032094750994221
zz,0.058361113287742565,0.08956955348409985
zz,0.06269979066149045,0.07956619160903913
zz,0.0672300346335501,0.07397038418948909
zz,0.07196568645312015,0.07881461242732704
zz,0.0769212149517596,0.08832719318485725
zz,0.08211176074999216,0.08406722200873898
zz,0.08755318251642662,0.0775445601061449
zz,0.09326210542072925,0.07896743514408779
zz,0.09925597192848501,0.0851087361346909
zz,0.10555309509314288,0.08004695980124558
zz,0.11217271450786703,0.07595659950778234
zz,0.11913505508824361,0.07911262119599957
zz,0.12646138886544203,0.08286587210776218
zz,0.1341740999786275,0.08501437222157701
zz,0.1422967530651956,0.08567779497348642
zz,0.15085416525778153,0.08042559266582389
zz,0.1598724820080178,0.07554578174007835
zz,0.16937925696870137,0.07741378841399726
zz,0.17940353617843813,0.07747133088672159
zz,0.18997594680597105,0.07958600681578228
zz,0.20112879072533352,0.07744414445520324
zz,0.2128961432077281,0.08231738186867509
zz,0.22531395703166346,0.08735838812128838
zz,0.2384201723294368,0.08521001920158093
zz,0.25225483250557745,0.07725781391350074
zz,0.26686020658141335,0.07986694682135244
zz,0.2822809183395642,0.07697468854071086
zz,0.298564082662933,0.08597441210145237
zz,0.31575944948475315,0.07812152845199453
zz,0.3339195557895039,0.06778920876881328
zz,0.35309988612909526,0.08016701976684727
zz,0.37335904214476034,0.07387129345733177
zz,0.3947589216125771,0.07774064629769752
zz,0.4173649075596779,0.07698279643351666
zz,0.4412460680289318,0.08473736621865793
zz,0.46647536710246174,0.07995157501433929
zz,0.49312988782871536,0.08701796530260945
zz,0.5212910677342192,0.07619444079261381
zz,0.5510449476395579,0.09058722339614751
zz,0.5824824345397914,0.09218112183136179
zz,0.6156995793524993,0.07421533770172091
zz,0.6507978703820303,0.0930141095324134
zz,0.687884543396611,0.08217439594329527
zz,0.7270729092656556,0.08701776323610186
zz,0.7684827001583452,0.08527648511672674
zz,0.8122404353611758,0.08521318768905564
zz,0.8584798078321985,0.08747260850369463
zz,0.9073420926729565,0.08562994454158508
zz,0.9589765787661355,0.07948250365992153
zz,1.0135410248977268,0.08170425137486925
zz,1.0712021417572508,0.08180308996673066
zz,1.1321361012887499,0.08496324805762548
zz,1.1965290749487107,0.0825511526942906
zz,1.2645778025155154,0.08679478594823059
zz,1.336490193188254,0.08039930531103402
zz,1.4124859608114548,0.08864319412935474
zz,1.4927972951665573,0.08323572549120117
zz,1.577669571381064,0.07778573847731537
zz,1.667362099622907,0.08152574421069095
zz,1.7621489173704834,0.0850108745718234
zz,1.8623196266790718,0.08919571048863834
zz,1.9681802790016327,0.07942913312858699
zz,2.080054310267486,0.0939709703623156
zz,2.198283529075721,0.09210423048821981
zz,2.3232291610226077,0.09124839742625701
zz,2.4552729523537717,0.08119221755724337
zz,2.594818336313024,0.08411379447191669
zz,2.7422916657515284,0.07762910020166586
zz,2.898143515763133,0.08087998454400032
zz,3.062850060325979,0.08784974189608423
zz,3.2369145271562694,0.0894399041889341
zz,3.420868735219366,0.08815735391909323
zz,3.6152747195956465,0.08861289849351045
zz,3.820726448665623,0.08662626979162528
zz,4.037851638860895,0.08489591960130459
zz,4.267313672525386,0.08027444925357409
zz,4.509813624746718,0.07964012059240734
zz,4.766092405350053,0.08515360708947001
zz,5.036933022599099,0.06911233822859127
zz,5.32316297552029,0.07476371491747806
zz,5.625656782159669,0.07802374974740428
zz,5.945338651496844,0.08192161716373678
zz,6.283185307179589,0.07596171493804466
